Time,AccX,AccY,AccZ
1179,1608,4096,16348
1180,1984,-3148,25824
1181,3336,-7416,19152
1182,4324,-6676,9344
1183,5056,-3456,9616
1184,3584,-3512,18420
1185,976,-2324,24264
1186,-180,840,23292
1187,8,4108,19976
1188,8,4108,19976
1189,1056,6672,15704
1190,1000,6892,12640
1191,708,6032,13788
1192,1464,684,22060
1193,3088,-7272,25144
1194,3596,-8588,13372
1195,4808,-4776,7548
1196,4472,-3572,13896
1197,1956,-3172,22900
1198,360,208,24084
1199,360,208,24084
1200,-80,4048,21060
1201,1100,6208,16664
1202,1336,7312,12820
1203,-100,6784,13396
1204,1068,2988,19204
1205,2904,-6528,26776
1206,3308,-9836,16544
1207,4444,-5940,7840
1208,4300,-3908,12372
1209,2184,-3748,22108
1210,2184,-3748,22108
1211,604,-188,24248
1212,200,4380,21204
1213,1356,6236,16484
1214,1608,7384,12676
1215,-64,7488,13156
1216,768,3844,19144
1217,2896,-6408,27220
1218,3568,-10528,16796
1219,4256,-6452,7892
1220,3996,-4292,13028
1221,3996,-4292,13028
1222,2108,-4004,22816
1223,768,96,24188
1224,404,5144,20296
1225,1648,6760,15760
1226,1580,7640,12616
1227,-136,8048,13364
1228,560,2844,20808
1229,3140,-7916,27064
1230,3784,-10736,14660
1231,4348,-6232,7516
1232,4348,-6232,7516
1233,3604,-4516,15136
1234,1656,-3420,24384
1235,520,1736,23708
1236,1020,6388,18900
1237,2392,7388,13968
1238,964,7796,12160
1239,-428,7880,14176
1240,1056,-112,24560
1241,3456,-10520,25688
1242,3456,-10520,25688
1243,3880,-10408,10952
1244,4328,-5440,8024
1245,2920,-4580,18708
1246,972,-2020,25360
